,WT : APC : Tantin_13,WT : APC : Tantin_14,WT : APC : Tantin_15,WT : APC : Tantin_19,WT : APC : Tantin_6,WT : APC : Tantin_7,WT : APC : Tantin_9,WT : APC : Tantin_10,WT : APC : Tantin_11,WT : APC : K28_APC,WT : APC : K30_APC,WT : APC : K16_APC,WT : APC : S01_APC,WT : APC : K17_APC,WT : APC : K19_APC,WT : APC : K23_APC,KO : APC : S06_APC,KO : APC : S02_APC,KO : APC : N19_APC,KO : APC : N22_APC,KO : APC : M15_APC,WT : APC : K28_p1APC,WT : APC : K30_p1APC,WT : APC : K30_p2APC,WT : APC : K16_p1APC,WT : APC : K16_p2APC,WT : APC : K16_p3APC,WT : APC : S01_p1APC,KO : APC : S06_p1APC,KO : APC : S02_p1APC,KO : APC : S02_p2APC,WT : APC : K17_p1APC,WT : APC : K19_p1APC,WT : APC : K19_p2APC,WT : APC : K19_p3APC,WT : APC : K23_p1APC,WT : APC : K23_p2APC,KO : APC : N19_p1APC,KO : APC : N22_p1APC,KO : APC : M15_p1APC,KO : APC : M15_p2APC,KO : APC : L30_p1APC,KO : APC : L30_p2APC,KO : APC : L35_p1APC,KO : APC : L35_p2APC,KO : APC : L30_p3APC,KO : APC : L30_p4APC,KO : APC : L35_p5APC,WT : Norm : AR37_60,WT : Norm : AZ26_60,WT : Norm : G30_60,KO : Norm : G29_60,KO : Norm : AZ27_60,KO : Norm : AR38_60,KO : APC : L35_p3APC,KO : APC : L35_p4APC
Chga,248.45,241.63,500.72,265.56,478.25,458.91,170.39,393.68,176.24,1028.83,1616.23,1166.29,4223.22,1765.2,1266.93,1256.48,3687.44,3636.19,1642.37,1428.46,1172.39,282.76,84.17,230.53,384.74,397.64,373.04,287.86,264.47,219.65,202.51,331.29,191.76,166.6,92.69,198.18,158.04,339.83,498.86,230.42,154.53,280.06,331.67,380.96,471.64,252.41,255.4,563.7,1786.03,1878.28,1660.54,1555.46,2006.95,1814.28,344,447.39
Cltc,10510.6,12318.4,9685.73,8721.16,11157.52,11323.49,11261.16,9770.02,12627.79,17283.31,17486.02,14990.99,20132.03,27542.88,14311.91,11305.29,20280.93,16434.07,12148.11,11277.67,11355.05,13890.82,15151.21,16742.11,15473.93,20521.85,16952.05,22550.72,19511.91,14947.58,16447.13,19747.77,17824.96,15209.73,17801.72,15103.47,6602.57,15952.76,15633.09,17542.6,13990.54,15517.82,14248.87,15064.64,13414.72,13719.61,14493.59,15148.7,15264.97,15499.19,16401.12,15610.08,15305.98,13888.39,20792.41,13748.88
Cs,17031.3,13043.31,14599.01,19980.4,19357.89,17211.92,14375.78,15508.76,12690.64,16643.37,17350.56,14918.1,106919.81,55649.85,20875.78,16006.57,47649.79,106266.03,16537.76,17042.64,16707.24,11396.43,13316.81,13208.18,13950.62,16241.13,15163.72,19939.67,15765.27,17956.18,19238.69,14480.94,12290.43,12484.32,12914.41,11162.22,6848.41,11530.58,14514.63,12287.31,11315.28,11702.64,10466.83,13733.66,12838.65,10303.27,8816.14,11797.03,20877.32,19564.05,20949.46,21179.05,19791.75,24576.01,13906.8,11083.03
Ctnnb1,49992.73,58272.02,34435.43,45826.61,45273.58,45846.86,63629.52,41237.45,73634.11,33163.67,33180.33,31044.14,75935.89,54409.84,34067.18,29443.06,44586.48,71299.73,31937.58,29551.04,30991.75,49615.11,58378.59,52702.52,47059.89,57381.64,47718.04,67035.88,78304.76,74859.3,66022.19,53138.83,70942.85,62486.66,55813.11,47322.91,32117.3,54912.55,53714.93,66764.02,46997.62,47329.36,43525.65,54756.06,61272.48,39263.56,45947.8,46961.84,33463.25,36287.49,36914.46,33004.13,35615.89,40175.52,57821.2,54893.82
Dlat,3495.11,2888.03,3585.49,2380.63,3407.85,2427.25,4259.77,3750.09,3904.6,3514.75,4614.71,3236.45,2241.45,3496.35,3514.31,3240.39,2675.91,2401.98,4122.43,3743.31,3640.09,3567.38,3102.8,4597.1,3337.51,4467.43,4003.79,4711.24,4628.2,2676.23,3548.64,4528.94,3510.71,3823.91,4792.7,3553.27,1202.86,4112.65,4626.38,4128.16,3668.1,4290.36,3380.96,3850.09,3197.03,3494.94,3914.66,4900.29,4643.37,4265.42,4652.36,5231.11,4624.64,3895.41,4923.58,3532.89
Ephb2,1353.83,1550.76,1236.14,991.73,1422.23,1210.86,1846.67,1426.25,1326.58,915.61,1209.86,1003.84,956.72,1361.58,732.15,871.72,911.1,920.92,1113.93,1056.86,1097.42,2072.77,1959.21,2221.25,1729.75,1905.23,1603.23,2339.4,2402.26,1670.48,2103.01,2213.65,1926.46,1837.77,2303.66,1925.96,474.12,1575.79,1931.89,1990.51,1576.18,1501.28,1396.09,2171.48,1990.98,1473.48,1227,1839.86,1249.6,1225.75,1116.57,1251.88,1308.1,1350.74,2179.42,1551.07
Fabp2,3638.29,278.05,346.48,5506.24,2055.73,1338.03,213.37,6343.88,194,91334.23,65547.94,66270.26,116008.61,48248.67,59596.88,37249.46,194236.38,108421.16,36210.14,24904.28,32308.06,840.72,1924.38,805.51,578.67,816.03,862.84,5351.84,282.83,439.29,4922.61,720.94,613.64,135.36,241.37,6525.95,1009.7,114.72,149.34,149.91,106.24,192.83,151.69,107.15,384.05,2033.64,73.9,202.78,25150.15,24479.01,17307.74,18402.73,19166.07,42944.39,481.82,523.19
Gusb,3099.28,3679.14,4544.45,2375.93,3144.94,3179.2,5515.45,3718.59,4727.05,1663.84,1831.72,1412.04,1831.43,2431.4,1763.52,1743.44,961.32,1490.55,1729.44,1643.24,1574.17,6036.52,4916.89,4363.85,3453.25,3779.34,3368.77,4605.83,6461.12,6858.2,5604.92,4448,6351.73,5685.1,4825.52,4789.79,3573.47,4562.88,5249.16,6210.28,5041.46,4474,4028.87,5350.13,5366.56,3601.22,3892.92,4760.15,1748.82,1662.77,1630,1700.72,1597.79,1360.37,4551.56,3773.22
Hes1,1918.1,2045.62,2094.51,1170.34,2173.41,1481.78,3010.24,2591.54,2489.22,2771.43,2487.45,2617.9,1312.07,1731.16,2514.77,2558.04,1721.76,1243.71,2546.12,3276.25,3295.27,3380.55,3227.61,4274.35,3640.93,6255.1,4581.87,6701.97,5068.98,4141.51,3850.85,4474.35,4525.57,3954.06,4375.61,2978.27,2107.2,3764.16,5554.2,4813.87,3082.82,3955.21,2553.07,4223.91,4571.52,3127.4,3860.32,4310.75,2768.97,2547.28,3732.39,2728.99,2613.22,1942.2,6240.19,5028.5
Hopx,15372.18,11957.61,8543.47,7799.92,9570.03,7353.63,14985.2,8969.16,13002.13,6241.88,4236.05,4533.95,3621.85,4896.84,6875.83,4142.17,4605.72,3436.82,3747.12,3784.22,4299.75,9836.17,6791.92,8806.35,8711.32,9761.28,8320.83,10873.97,15313.47,12843.59,8586.53,8717.18,9180.94,11302.52,11993.33,6090.51,14197.29,9809.76,14635.37,12553.82,10654.67,11381.27,9194.15,12857.45,11902.12,6580.27,9239.99,12437.45,3165.86,2875.04,3455.63,4419.92,2907.39,2734.49,10662.89,14717.6
