,GSM523282,GSM523283,GSM523284,GSM523285,GSM523286,GSM523287,GSM523288,GSM523289,GSM523290,GSM523291,GSM523292,GSM523293,GSM523294,GSM523295,GSM523296,GSM523297,GSM523298,GSM523299,GSM523300,GSM523301,GSM523302,GSM523303,GSM523304,GSM523305,GSM523306,GSM523307,GSM523308,GSM523309,GSM523310,GSM523311,GSM523312,GSM523313,GSM523314,GSM523315,GSM523316,GSM523317,GSM523318,GSM523319,GSM523320,GSM523321,GSM523322,GSM523323,GSM523324,GSM523325,GSM523326,GSM523327,GSM523328,GSM523329,GSM523330,GSM523331,GSM523332,GSM523333,GSM523334,GSM523335,GSM523336,GSM523337,GSM523338,GSM523339,GSM523340,GSM523341,GSM523342,GSM523343,GSM523344,GSM523345,GSM523346,GSM523347,GSM523348,GSM523349,GSM523350,GSM523351,GSM523352,GSM523353,GSM523354,GSM523355,GSM523356,GSM523357,GSM523358,GSM523359,GSM523360,GSM523361,GSM523362,GSM523363,GSM523364,GSM523365,GSM523366,GSM523367,GSM523368,GSM523369,GSM523370,GSM523371,GSM523372,GSM523373,GSM523374,GSM523375,GSM523376,GSM523377,GSM523378,GSM523379,GSM523380,GSM523381,GSM523382,GSM523383,GSM523384,GSM523385,GSM523386
DLD,9.5766089255,8.801105886,7.9041450235,8.354847920000001,9.6786220055,9.539149476999999,9.9339175705,8.658013645,9.466561994500001,9.144589323,8.871399682,9.3795342495,9.722221365,9.561269513,9.009437781,8.991409508,9.382702673999999,9.6257036735,9.4560507775,9.220844243,9.037709971,8.9172079315,9.161394149,8.5979438605,10.215832334,9.3026489225,10.0553313725,9.8156391965,9.1229080385,9.7043047705,8.736110817,9.0752119995,9.550027895,9.537278505,8.959720197500001,9.165376131499999,9.0401076555,8.801070009,9.947004925,9.235831859000001,8.8829838185,9.1329532065,9.364111951000002,9.9097235455,9.1454985315,9.3099466745,9.558997847,8.7407894145,9.610122002499999,8.657216246,8.6678713075,9.0735470785,8.7419094925,9.257078331999999,9.370135781,8.467524226,9.2178470605,9.5743166815,9.733587074999999,8.4412744255,8.301842567,9.586263024,9.660083784,9.762491950000001,9.6187925185,9.5056538135,8.954079328,8.958383132,9.137418456499999,8.9047757995,9.243386688000001,8.90646039,9.557088989499999,9.4691030155,9.2030674515,9.041358316499998,8.7708863575,9.388491901,9.710069112,8.8760713355,8.9786380405,9.3257370625,9.251395276499998,9.024103944,8.9034326045,9.474560125,10.0981260055,9.577417604499999,9.3933726525,8.395219437,9.094054937,9.793359683,10.080197654,9.791631734,9.309493553,9.552059495,9.5789196065,9.009874703,9.786572700499999,10.0083904355,9.173055906999998,8.869675389,9.468566449499999,8.7113861415,9.00383811
GLO1,10.01950161,10.59736611,10.95649845,11.50779116,10.00105367,10.84999029,11.35310476,10.25919225,9.721769156,10.2068671,11.11213147,10.95428862,10.67686698,11.10477905,10.22549867,10.44410124,11.58193882,10.06504614,10.71327954,10.61309935,11.37904789,10.92781746,10.15954141,11.35013423,11.91194463,10.62398635,11.02871793,11.12332855,10.14413275,10.20706862,11.28985299,11.35456845,9.976723683,11.11583464,11.00347751,11.67436894,11.21612228,10.41654165,10.73802697,10.7490386,11.47371645,11.38485513,10.23182709,11.35126316,11.47557704,10.80786729,11.24061861,11.4472844,10.02685263,10.61004911,11.12533571,11.71436692,10.65336897,11.30022792,10.86443331,11.24830116,10.02049391,11.36606651,11.05259572,11.24893433,11.06510425,10.42509235,11.41406461,11.10398723,11.31173727,10.60634569,11.22890679,10.47466161,11.16790656,10.22304654,11.23102854,11.0774256,11.12222284,10.89827926,11.3324069,11.77303481,10.57161007,11.42834191,10.13840864,10.76915867,10.84341503,10.75497635,10.02961017,10.22561625,10.41413383,10.5951894,11.54604156,9.830698636000001,10.85703985,10.98484779,11.41849281,9.972597902,11.37323555,11.23229168,10.82306966,9.994098082,11.08764393,10.94447749,11.78425662,11.26558305,10.46732001,9.717611915,10.65092837,10.83487239,11.43828633
HAGH,7.173380551,6.7656122110000005,6.711577442,6.572938981,7.259181012999999,6.986893492,7.2662905260000015,7.238393525,6.984934732999999,7.19355046,7.116562497,6.952257604,6.492413533,6.243226407000001,6.519835365,7.38774969,7.5863169689999985,6.475785407999999,6.717844184,6.7899933070000005,7.562896374,5.932027141,7.55270451,7.39170244,7.116813586,6.545434584,7.347977577000001,7.296354985,6.748253386,7.444968512000001,7.749007812999999,6.878016716,7.312156733999998,6.976354046,6.25534239,7.232121507,7.30237337,7.101985936,5.782156006,7.02698262,7.082575692000001,7.438462581,7.526075627999999,7.362341783,7.264224945,6.997164939,7.029044377999999,7.333002245,7.97079553,7.730434217999999,7.9460126560000015,7.432353946,6.724876413,6.607492494,7.141076367999999,7.773601097,7.4016495089999985,6.703016961,6.961338419,7.538686396,7.953439903,7.426971722,7.240159405,7.239684348,7.161431104,6.113584516,7.431004435,7.6035426789999985,6.565164832000001,6.345689697,6.719633292,7.250438995,7.14663842,6.8118653789999986,7.49409739,7.476482526,7.653565566,8.636127146,7.278565541,7.34487544,6.8419380610000005,6.58679425,7.115098841,7.34807103,6.680304859,6.9046048189999985,7.5724732810000015,7.208438963,6.878261948,7.091801895,6.810484287,7.416317012,7.167359153,6.720633877999999,7.208927288,7.339756135,6.692714058,7.127648975,7.744748263,6.715517297000001,7.619631189,6.569589082,6.988766486,7.101818718,7.2848008910000015
HAGHL,3.513672895,3.657674377,4.153557664,3.437158703,4.011659425,3.907834038,4.146114192,3.821537574,3.435988327,3.819562049,5.924542465,4.779300652,3.903948527,4.464938461,3.5337901730000003,3.2261981060000005,3.68884159,3.532732859,3.888946144,4.40758274,3.863228661,3.696362459,3.394306565,4.877940939,3.740404826,3.720628311,3.893935828,3.760718396,3.312521807,3.344329642,4.934665442,3.647245324,3.3544975160000003,3.5310714360000004,4.013084028,5.597265022999999,4.78964442,4.236863134,4.069116147,4.294991432,4.625540695,3.701520051,4.1265506589999985,3.42132818,3.914283248,3.7756161,3.31796912,5.249015986,3.830726196,3.991166008,5.850381334,3.928034191,3.672752955,4.3187503289999984,3.511101174,4.365793186,4.085872343999998,3.906885107,3.941674347,5.215362874,5.127100872,3.702600074,4.359120085,3.49270772,4.110395701,3.0672081710000003,3.738015808,4.208122792,3.990541969,4.967100002,4.061155997,2.942776973,3.435294929,4.7589101330000005,4.141867774,4.847448054,3.526101975,3.766822541,4.369646055,3.677890317,3.503796487,3.788976002,3.528134278,3.4497703,4.155793802,3.957522423,3.239710961,3.549126397,4.026908746,4.27120339,5.06887165,3.526896858,4.3535447189999985,4.2402804960000005,4.454851063,3.437087649,3.328316522,4.481516561,5.542226371,4.235071097,3.545106413,4.404884489,3.672193253,4.668971572,4.905567004
LDHA,14.07859924,14.14256563,13.98769608,13.84317903,13.38160734,14.2344822,13.31847279,13.23657794,13.70019656,12.83596001,13.88383553,13.24352525,13.44790381,13.38614952,13.33506249,12.7118165,14.15169417,13.09207767,14.19974118,13.41488144,13.67375953,13.39083971,13.00113886,14.18847007,14.26986149,13.71785905,13.78951776,13.76334648,13.1034108,13.70539306,13.39290792,13.85292617,13.37640317,13.41046288,13.28588261,14.07636819,14.35122526,13.78486385,13.58805989,13.71261228,13.49677966,14.11534862,13.19263819,14.02086224,13.57456146,13.99516489,13.29791932,14.45812411,13.85508277,13.74295432,13.69980134,13.47990175,13.77989888,13.641910199999998,13.67926097,14.28742901,13.2620812,14.00880061,13.40270646,13.72044711,13.64875329,13.31397567,14.418389499999998,13.61574113,13.82318023,13.58745935,13.47638359,12.76005344,14.21896226,14.1318337,13.36900405,13.58506671,13.54272343,13.42672091,13.17750255,13.99173845,12.9930726,13.98840187,13.69049896,13.72648562,13.75093355,14.09617423,12.85760409,14.34379291,13.06743729,13.88581002,14.31319364,13.48770409,13.77155615,13.78184976,13.85812119,13.246614,13.8363823,14.00689446,13.75209798,13.36001479,14.11742421,13.88168216,14.10864009,14.13225985,12.77331589,13.37684176,13.80908262,13.26719517,13.81425134
LDHAL6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDHAL6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDHB,12.33551759,11.85909542,12.558935275,12.8948688,11.226351545,12.63975817,11.548338735000002,11.48736002,11.160562075,11.351965615000001,12.509650480000001,12.796669965,12.473019260000001,12.31775949,10.88551476,11.447409505,12.987577609999999,11.237791735,12.558108390000001,12.28136016,12.5343695,11.705608269999999,11.59919128,12.458591304999999,13.73509974,11.111418995,12.186594835000001,12.278888765000001,11.967314565,12.002216775,10.768688189999999,12.874469665,10.831765525,12.845302915,12.271493185,12.203334605,12.397221895000001,12.098017755,11.997621899999999,12.463403535,12.334545644999999,11.517953715,11.620179165,12.898719475,12.091401605,11.656538009999998,12.69978909,12.25336379,11.24475449,11.483500074999998,12.194197599999999,13.254321315,11.930363015000001,12.761183985,12.809170495,12.366229905,11.518203329999999,12.5268681,12.306877985,12.221375495,12.48457948,12.10228605,13.103099284999999,13.303062525,12.89023581,12.09553382,11.612416105000001,11.25897383,12.900838104999998,13.04761725,13.004415784999999,11.82156704,12.665198010000001,11.31471249,11.546756365,12.492875215,11.299435379999998,10.562349501,11.063157035,11.696182910000001,11.567118765,12.823115565,11.610914775,10.824085435,12.501971435,12.40335507,13.013378255,11.16305587,11.038293625000001,12.541738465,13.051369815000001,11.03516023,12.96074187,12.517025605,12.257431945,11.39599819,12.797060915,13.381058825,12.201627055,12.580252415,11.871521395,11.96192182,12.46706005,12.223146365000002,12.270196845000001
LDHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDHD,4.447744602,3.4664513460000004,3.609271685,3.143877626,5.987414226,2.781326355,3.423083138,3.683820835,6.989065755,5.941626123,3.662505619,5.132782375,3.763790411,3.43415164,4.583191724,5.097392254,2.601687353,5.217882285,2.643614857,4.613600116000001,3.677883991,2.913258281,6.657825142,3.75954998,3.210517938,3.8594602,3.796432744,3.283166452,3.571717668,6.600590341,3.785434002,3.32256153,6.33250408,3.805937049,3.002489295,2.619301343,2.585286725,3.765873952,3.152020303,4.749584385,3.5259601430000003,2.53126829,5.973963295,2.625580641,3.896954134,4.566395203,3.759968002,4.595340122,6.97826744,5.333443811,3.263570502,3.720975005,4.12122676,2.70649032,4.718749734,3.197302764,6.339532577999999,2.618883375,4.257362409,3.479948299,3.311316512,5.994657442,2.561779245,3.594957191,3.561069622,3.4779298730000003,5.234586447,6.599384937999999,3.358698043,3.5655133880000003,3.331274345,3.996810479,3.701775367,2.645669709,5.387668017,3.239561952,6.731971511,3.430369882,7.107262684,3.918755165,4.0682344860000015,3.455532616,5.2835301910000005,5.64312388,4.526588619,3.448903375,3.10476303,5.636881122999999,3.416098955,3.624385228,3.279901652,7.103767563,3.405895712,5.081498224,4.476329123999999,6.914589,2.601809997,2.611510392,2.775453634,3.354332642,6.707095819,4.877009593,5.23370809,3.846952486,3.527478785
