,KO : AOMDSS : AN-08_4,KO : AOMDSS : X-11_1,KO : AOMDSS : MPC-APC-Lrig N-43A_2,KO : AOMDSS : MPC-Lrig V-32_3,KO : AOMDSS : MPC-Lrig V29_3,KO : AOMDSS : APC-AJ-01_2,WT : AOMDSS : APC AJ-08_1,WT : AOMDSS : W-25_1,WT : AOMDSS : W23_1,WT : AOMDSS : W26_1,WT : AOMDSS : W27_1,WT : AOMDSS : APC AJ-04_1,WT : AOMDSS : APC AJ-08_2,WT : AOMDSS : APC AJ-08_3,WT : AOMDSS : APC AJ-08_4,WT : AOMDSS : W25_2,WT : AOMDSS : W27_2,WT : AOMDSS : APC Y07_2,WT : AOMDSS : APC X-09_1,WT : AOMDSS : APC U-30_1,WT : AOMDSS : APC Y-07_2,WT : AOMDSS : APC M-24_1,WT : AOMDSS : APC M-24_2,WT : AOMDSS : APC P-36_1,WT : AOMDSS : Tantin_1,WT : AOMDSS : Tantin_2,WT : AOMDSS : Tantin_3,WT : AOMDSS : Tantin_4,WT : AOMDSS : Tantin_5,WT : AOMDSS : AD12_p1AOMDSS,WT : AOMDSS : AD12_p2AOMDSS,WT : AOMDSS : AO22_p1AOMDSS,WT : AOMDSS : AO22_p2AOMDSS,WT : AOMDSS : AO22_p3AOMDSS,WT : AOMDSS : AD14_p1AOMDSS,WT : AOMDSS : AD14_p2AOMDSS,WT : APC : AD14_p3AOMDSS,KO : AOMDSS : AH03_p1AOMDSS,WT : Norm : AR37_60,WT : Norm : AZ26_60,WT : Norm : G30_60,KO : Norm : G29_60,KO : Norm : AZ27_60,KO : Norm : AR38_60,WT : AOMDSS : AD12_AOMDSS,WT : AOMDSS : AO22_AOMDSS,WT : AOMDSS : AH03_AOMDSS,WT : AOMDSS : AD14_AOMDSS,KO : AOMDSS : AN08_2,KO : AOMDSS : AN08_1,KO : AOMDSS : N43A_3,KO : AOMDSS : APC AJ01_1,KO : AOMDSS : V32_2,KO : AOMDSS : V32_4,KO : AOMDSS : V32_5,KO : AOMDSS : V29_1,KO : AOMDSS : V29_2,KO : AOMDSS : V29_5,KO : AOMDSS : V29_7
Nr2e3,108.51,111.66,104.53,113.13,91.02,102.65,114.9,93.9,118.2,135.86,105.27,108.65,192.19,208.49,149.97,212.43,241.9,342.05,158.49,189.47,169.15,182.73,180.07,204.18,153.47,170.03,120.97,131.28,140.64,102.81,113.85,103.84,133.76,123.09,85.92,99.77,173.72,81.68,150.39,133.2,128.83,145.26,92.58,155.43,114.37,211.33,269.21,182.14,400.26,422.2,431,175.14,150.3,401.67,411.51,195.79,169.92,176.69,280.74
Nrf1,1217.08,1253.96,1084.9,1382.74,1251.83,1623.33,1244.63,1472.91,1031.35,1467.96,1183.66,1415.32,1351.55,1321.53,1058.12,1392.92,942.57,1228.26,1548.68,1476.57,1220.6,1313.79,1472.61,974.21,1374.13,740.4,871.68,763.47,1021.87,830.43,881.65,1422.54,962.32,1152.32,877.41,1075.46,1137.64,1278.35,910.07,814.17,940.02,892.8,878.04,1090.77,796.13,899.67,2212.78,920.94,1507.01,1548.97,1671.88,1444.59,1313.61,1636.39,1629.34,1927.35,1420.69,1514.51,1386.22
Olfm2,368.01,368.48,448.27,422.04,379.82,418.19,401.78,354.09,229.19,283.4,321.13,409.37,509.62,505.63,595.12,623.63,493.81,614.13,407.55,479.12,472.39,457.98,446.18,322.31,529.19,344.37,452.41,438.74,391.99,321.1,364.05,319.29,372.79,402.08,368.36,428.1,358.2,367.58,260.46,251.44,249.08,220.34,238.92,220.08,259.93,217.37,223.25,189.83,999.3,1117.44,1129.61,626.82,671.01,1206.31,1233.01,840.28,464.12,784.18,932.39
Pcx,784.58,876.54,900.32,918.05,2156.44,1079.69,502.6,671.97,608.16,1450.98,3846.45,1100.05,595.18,735.46,647.49,1060.62,688.99,1959,587.17,1017.05,664.4,1316.1,966.4,1315.48,1257.71,1812.26,1948.85,1875.86,3230.19,1493.18,889.6,562.01,574.67,783.06,719.54,1069.66,725.63,1586.7,2910.05,2752.32,2643.5,2559.24,3424.06,2422.25,3643.48,3562.46,6717.14,3201.48,1219.58,2322.79,1112.71,801.96,755.03,1157.23,1318.05,2031.36,2035.86,1019.77,888.75
Pdha1,7364.72,8201.52,7063.14,8950.82,8527.98,7942.72,7258.01,10243.65,7388.19,8922.41,9446.26,8934.3,7894.81,8385.58,7577.02,10100.95,8344.66,8333.53,8510.17,9393,8445.16,8151.05,8885.68,8013.93,7588.59,7227.52,5513.46,4796.74,7393.99,6822.14,7413.3,8681.92,5767.71,8191.69,6319.08,7940.09,6744.34,10059.32,10976.64,10018.5,11452.92,12089.49,10897.85,11024.61,10998.75,10560.57,9678.46,9768.61,8479.3,8998.15,8997.42,7520.54,7988.19,8556.5,8799.63,11855.74,8325.93,7511.97,8771.18
Pdhb,4139.9,3526.26,3705.8,4169.97,3684.71,2551.9,4066.74,3896.09,3157.22,3822.22,3481.09,2077.88,4342.33,4076.23,3545.7,4339.6,3291.49,3816.94,4697.35,4416.65,4096.1,3989.94,4363.81,1804.05,4609.25,2925.02,3289.52,2584.05,3409.73,3206.23,3575.59,3917.18,3539.64,4131.01,3444.14,3859.83,3907.94,128.65,4838.71,4419.57,2460.26,5345.36,2287.68,4768.85,4816.88,5410.11,98.49,4881.74,4551.93,4726.83,5426.91,2230.75,3818.95,4956.96,4514.46,4750.05,3797.96,3754.3,3416.83
Pdk1,1585.09,1428.15,1363.66,1750.83,1714.81,1228.9,1285.4,1823.61,1424.76,2130.3,2834.41,1717.98,1304.44,1480.77,1406.85,1960.41,1391.33,1539.22,1657.36,2404.33,1464.42,1878.16,1710.71,1324.23,2464.26,1827.33,1474.9,982.84,1829.79,1369.81,1485.31,1487.44,1146.85,1235.55,1291.95,1675.26,1537.35,2087.01,2010.83,2012.98,1880.03,2301.36,2136.86,2021.98,2357.19,2463.53,2285.01,2021.45,1622.52,2348.1,1632.44,1114.06,1441.43,1752.63,1706.78,2398.48,1837.62,1654.18,1906.97
Pdk2,570.6,690.07,768.47,912.83,955.17,660.55,695.33,692.34,1101.73,907.53,2535.4,891.49,1014.29,1126.18,586.78,1024.21,1371.31,1515.89,584.15,1108.52,818.31,696.22,648.27,1598.41,1100.72,1749.84,866.71,1148.66,2259.19,556.78,386.55,489.32,702.23,546.27,577.78,554.55,471.97,675.93,1635.64,1719.64,1569.87,1805.18,1633.63,1823.91,1549.18,1642.35,2646.15,1947.05,529.2,625.98,694.38,880.97,740.83,706.48,891.35,1150.29,936.12,684.89,1013.85
Pdk3,883.22,895.52,874.89,1049.45,1118.11,1230.8,977.03,1299.83,1337.24,1229.14,1024.42,1116.54,833.25,802.77,771.27,1069.73,1336.28,1181.62,999.24,1128.12,1007.26,892.82,1042.43,1108.39,1204.79,1067.56,853.45,775.56,923.13,1121.47,916.07,803.42,743.1,941.32,602.48,813.27,845.54,1161.95,1265.1,1297.59,1253.04,1447.74,1140.86,1361.74,1283.31,1316.3,1477.38,1110.77,863.64,872.38,932.42,858.59,678.11,964.79,901.98,1193.12,843.29,925.53,1013.85
Pdk4,268.61,195.41,501.01,204.5,202.27,210.99,403.26,110.86,240.02,220.78,185.78,223.11,530.7,569.65,258.28,244.29,455.44,824.02,172.08,335.39,156.96,247.49,276.11,525.03,442.76,387.42,351.32,338.55,152.61,93.32,97.96,112.92,551.13,253.21,295.33,223.91,161.42,67.39,379.84,291.84,228.09,153.42,197.11,1133.41,130.71,283.79,334.87,264.22,244.45,262.38,216.91,266,321.89,227.31,294.59,212.11,449.97,196.89,247.28
